Permission,Admin,Operations Manager,Accountant,HR,Supervisor,Technician,Factory Supervisor,Sales Rep,Client
user.create,✓,,,,,,
user.read,✓,✓,✓,✓,✓,✓,,
user.update,✓,,,✓,✓,✓,,
user.delete,✓,,,,,,
role.manage,✓,,,,,,
client.create,✓,✓,,,,,✓,
client.read,✓,✓,✓,✓,✓,✓,,✓,
client.update,✓,✓,,,,,✓,
client.delete,✓,,,,,,
lead.create,✓,✓,,,,,✓,
lead.read,✓,✓,✓,✓,✓,✓,✓,✓,✓
lead.update,✓,✓,,,,,✓,✓,
lead.delete,✓,✓,,,,,,
lead.move_stage,✓,✓,,,,,✓,✓,
task.create,✓,✓,,,,,,
task.read,✓,✓,✓,✓,✓,✓,✓,,
task.update,✓,✓,,,✓,✓,✓,,
task.delete,✓,✓,,,,,,
task.assign,✓,✓,,,✓,,,
task.complete,✓,✓,,,✓,✓,,
task.comment,✓,✓,,,✓,✓,✓,,
task.change_priority,✓,✓,,,,,,
attendance.clock,✓,,,,,✓,,
attendance.read,✓,✓,✓,✓,✓,✓,,
attendance.manage,✓,,,✓,,,,
invoice.create,✓,,✓,,,,
invoice.read,✓,,✓,,,,
invoice.update,✓,,✓,,,,
invoice.delete,✓,,,,,,
payment.record,✓,,✓,,,,
finance.reports,✓,,✓,,,,
hr.view,✓,,,✓,,,,
hr.manage,✓,,,✓,,,,
payroll.manage,✓,,,✓,,,,
report.view,✓,✓,✓,✓,✓,✓,,✓,
report.generate,✓,✓,✓,✓,✓,✓,,
file.upload,✓,✓,✓,✓,✓,✓,✓,✓,
file.read,✓,✓,✓,✓,✓,✓,✓,✓,✓
file.delete,✓,,,,,,
setting.view,✓,✓,✓,✓,✓,✓,,
setting.update,✓,,,,,,
audit.read,✓,,,,,,


